ModelName;;NetID;;;;;;;;;;;
;Feature Layer Neuron Activation Value;;;;;;;;;;;;
Set;Neuron 0;Neuron 1;Neuron 2;Neuron 3;Neuron 4;Neuron 5;Neuron 6;Neuron 7;Neuron 8;Neuron 9;Neuron 10;Neuron 11;Neuron 12
0;0,08405766;0,8572293;0;0;0;0;0;0;0;0;;;
1;0,08404671;0,8572532;0;0;0;0;0;0;0;0;;;
2;0,08417166;0,8572288;0;0;0;0;0;0;0;0;;;
3;0,08066513;0,8588507;0;0;0;0;0;0;0;0;;;
4;0,08424499;0,8572349;0;0;0;0;0;0;0;0;;;
5;0,08062725;0,858859;0;0;0;0;0;0;0;0;;;
6;0,08443704;0,8572509;0;0;0;0;0;0;0;0;;;
7;0,084552;0,8572604;0;0;0;0;0;0;0;0;;;
8;0,08597813;0,8573787;0;0;0;0;0;0;0;0;;;
9;0,0850214;0,8572994;0;0;0;0;0;0;0;0;;;
10;0,08480184;0,8572811;0;0;0;0;0;0;0;0;;;
11;0,08501391;0,8572987;0;0;0;0;0;0;0;0;;;
12;0,08463936;0,8572676;0;0;0;0;0;0;0;0;;;
13;0,08600383;0,8573807;0;0;0;0;0;0;0;0;;;
14;0,08581726;0,8573653;0;0;0;0;0;0;0;0;;;
15;0,08626033;0,857402;0;0;0;0;0;0;0;0;;;
16;0,08579031;0,857363;0;0;0;0;0;0;0;0;;;
17;0,08649398;0,8574213;0;0;0;0;0;0;0;0;;;
18;0,08568175;0,8573541;0;0;0;0;0;0;0;0;;;
19;0,08672322;0,8574402;0;0;0;0;0;0;0;0;;;
20;0,08746088;0,857501;0;0;0;0;0;0;0;0;;;
21;0,08564168;0,8573508;0;0;0;0;0;0;0;0;;;
22;0,09229834;0,8578971;0;0;0;0;0;0;0;0;;;
23;0,08923568;0,8576469;0;0;0;0;0;0;0;0;;;
24;0,09082384;0,8577769;0;0;0;0;0;0;0;0;;;
25;0,08835581;0,8575747;0;0;0;0;0;0;0;0;;;
26;0,08955145;0,8576728;0;0;0;0;0;0;0;0;;;
27;0,08947624;0,8576667;0;0;0;0;0;0;0;0;;;
28;0,08396579;0,8573939;0;0;0;0;0;0;0;0;;;
29;0,08404926;0,8572477;0;0;0;0;0;0;0;0;;;
30;0,08405936;0,8572258;0;0;0;0;0;0;0;0;;;
31;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
32;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
33;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
34;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
35;0,08434885;0,8572435;0;0;0;0;0;0;0;0;;;
36;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
37;0,08432271;0,8572414;0;0;0;0;0;0;0;0;;;
38;0,08444893;0,8572519;0;0;0;0;0;0;0;0;;;
39;0,08552691;0,8573413;0;0;0;0;0;0;0;0;;;
40;0,08489219;0,8572887;0;0;0;0;0;0;0;0;;;
41;0,08529532;0,8573221;0;0;0;0;0;0;0;0;;;
42;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
43;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
44;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
45;0,08405611;0,8572326;0;0;0;0;0;0;0;0;;;
46;0,08419491;0,8572307;0;0;0;0;0;0;0;0;;;
47;0,0842405;0,8572345;0;0;0;0;0;0;0;0;;;
48;0,08447986;0,8572544;0;0;0;0;0;0;0;0;;;
49;0,08458991;0,8572636;0;0;0;0;0;0;0;0;;;
50;0,0845498;0,8572602;0;0;0;0;0;0;0;0;;;
51;0,08839058;0,8575776;0;0;0;0;0;0;0;0;;;
52;0,08695319;0,8574592;0;0;0;0;0;0;0;0;;;
53;0,09552999;0,8581589;0;0;0;0;0;0;0;0;;;
54;0,08853653;0,8575896;0;0;0;0;0;0;0;0;;;
55;0,108599;0,8591931;0;0;0;0;0;0;0;0;;;
56;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
57;0,08512124;0,8573076;0;0;0;0;0;0;0;0;;;
58;0,08690847;0,8574555;0;0;0;0;0;0;0;0;;;
59;0,08401421;0,8573162;0;0;0;0;0;0;0;0;;;
60;0,08419266;0,8572305;0;0;0;0;0;0;0;0;;;
61;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
62;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
63;0,08433475;0,8572423;0;0;0;0;0;0;0;0;;;
64;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
65;0,08455289;0,8572605;0;0;0;0;0;0;0;0;;;
66;0,08487796;0,8572874;0;0;0;0;0;0;0;0;;;
67;0,08867506;0,8576009;0;0;0;0;0;0;0;0;;;
68;0,08663909;0,8574332;0;0;0;0;0;0;0;0;;;
69;0,09561019;0,8581653;0;0;0;0;0;0;0;0;;;
70;0,09170977;0,8578492;0;0;0;0;0;0;0;0;;;
71;0,08496676;0,8572949;0;0;0;0;0;0;0;0;;;
72;0,0854282;0,8573331;0;0;0;0;0;0;0;0;;;
73;0,3322237;0,8659461;0;0;0;0;0;0;0;0;;;
74;0,08414706;0,8572268;0;0;0;0;0;0;0;0;;;
75;0,3551905;0,8641524;0;0;0;0;0;0;0;0;;;
76;0,1811982;0,8641162;0;0;0;0;0;0;0;0;;;
77;0,08779669;0,8575287;0;0;0;0;0;0;0;0;;;
78;0,1119449;0,8594515;0;0;0;0;0;0;0;0;;;
79;0,3702807;0,8624464;0;0;0;0;0;0;0;0;;;
80;0,2411285;0,8667372;0;0;0;0;0;0;0;0;;;
81;0,09747956;0,8583156;0;0;0;0;0;0;0;0;;;
82;0,0910811;0,857798;0;0;0;0;0;0;0;0;;;
83;0,3706535;0,8623983;0;0;0;0;0;0;0;0;;;
84;0,213529;0,8657371;0;0;0;0;0;0;0;0;;;
85;0,2576867;0,867126;0;0;0;0;0;0;0;0;;;
86;0,1499976;0,8621887;0;0;0;0;0;0;0;0;;;
87;0,173425;0,8636662;0;0;0;0;0;0;0;0;;;
88;0,25073;0,8669842;0;0;0;0;0;0;0;0;;;
89;0,08630433;0,8574055;0;0;0;0;0;0;0;0;;;
90;0,3402819;0,8654166;0;0;0;0;0;0;0;0;;;
91;0,09012209;0,8577195;0;0;0;0;0;0;0;0;;;
92;0,0883888;0,8575774;0;0;0;0;0;0;0;0;;;
93;0,0881423;0,8575571;0;0;0;0;0;0;0;0;;;
94;0,2109077;0,8656223;0;0;0;0;0;0;0;0;;;
95;0,3533989;0,8643252;0;0;0;0;0;0;0;0;;;
96;0,08437573;0,8572458;0;0;0;0;0;0;0;0;;;
97;0,09529904;0,8581403;0;0;0;0;0;0;0;0;;;
98;0,3112205;0,8668895;0;0;0;0;0;0;0;0;;;
99;0,08727794;0,857486;0;0;0;0;0;0;0;0;;;
100;0,2580684;0,8671328;0;0;0;0;0;0;0;0;;;
101;0,1730902;0,8636463;0;0;0;0;0;0;0;0;;;
102;0,08571548;0,8573569;0;0;0;0;0;0;0;0;;;
103;0,1176303;0,8598843;0;0;0;0;0;0;0;0;;;
104;0,1189598;0,8599843;0;0;0;0;0;0;0;0;;;
105;0,0992758;0,8584593;0;0;0;0;0;0;0;0;;;
106;0,1186261;0,8599592;0;0;0;0;0;0;0;0;;;
107;0,3031022;0,8671054;0;0;0;0;0;0;0;0;;;
108;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
109;0,2897827;0,8673049;0;0;0;0;0;0;0;0;;;
110;0,1923221;0,8647217;0;0;0;0;0;0;0;0;;;
111;0,3109373;0,8668982;0;0;0;0;0;0;0;0;;;
112;0,09197439;0,8578708;0;0;0;0;0;0;0;0;;;
113;0,3040634;0,8670837;0;0;0;0;0;0;0;0;;;
114;0,3243881;0,8663679;0;0;0;0;0;0;0;0;;;
115;0,09280276;0,8579381;0;0;0;0;0;0;0;0;;;
116;0,1207548;0,8601187;0;0;0;0;0;0;0;0;;;
117;0,1011471;0,8586082;0;0;0;0;0;0;0;0;;;
118;0,1405192;0,8615434;0;0;0;0;0;0;0;0;;;
119;0,2031938;0,8652663;0;0;0;0;0;0;0;0;;;
120;0,08424994;0,8572354;0;0;0;0;0;0;0;0;;;
121;0,3187993;0,8666165;0;0;0;0;0;0;0;0;;;
122;0,09059078;0,8577579;0;0;0;0;0;0;0;0;;;
123;0,2779622;0,8673383;0;0;0;0;0;0;0;0;;;
124;0,0894422;0,8576639;0;0;0;0;0;0;0;0;;;
125;0,08918796;0,8576431;0;0;0;0;0;0;0;0;;;
126;0,08649651;0,8574215;0;0;0;0;0;0;0;0;;;
127;0,08468535;0,8572715;0;0;0;0;0;0;0;0;;;
128;0,1727087;0,8636237;0;0;0;0;0;0;0;0;;;
129;0,2928939;0,8672744;0;0;0;0;0;0;0;0;;;
130;0,09809461;0,8583649;0;0;0;0;0;0;0;0;;;
131;0,08706205;0,8574682;0;0;0;0;0;0;0;0;;;
132;0,1729195;0,8636362;0;0;0;0;0;0;0;0;;;
133;0,2297767;0,8663747;0;0;0;0;0;0;0;0;;;
134;0,08525457;0,8573187;0;0;0;0;0;0;0;0;;;
135;0,08538323;0,8573294;0;0;0;0;0;0;0;0;;;
136;0,1075166;0,8591089;0;0;0;0;0;0;0;0;;;
137;0,1113482;0,8594055;0;0;0;0;0;0;0;0;;;
138;0,08554141;0,8573425;0;0;0;0;0;0;0;0;;;
139;0,08600024;0,8573804;0;0;0;0;0;0;0;0;;;
140;0,1337965;0,8610705;0;0;0;0;0;0;0;0;;;
141;0,0879515;0,8575414;0;0;0;0;0;0;0;0;;;
142;0,3577863;0,8638912;0;0;0;0;0;0;0;0;;;
143;0,3496737;0,8646658;0;0;0;0;0;0;0;0;;;
144;0,09033512;0,857737;0;0;0;0;0;0;0;0;;;
145;0,4005521;0,8574688;0;0;0;0;0;0;0;0;;;
146;0,08431432;0,8572407;0;0;0;0;0;0;0;0;;;
147;0,1032412;0,8587738;0;0;0;0;0;0;0;0;;;
148;0,08411321;0,857224;0;0;0;0;0;0;0;0;;;
149;0,3999138;0,857598;0;0;0;0;0;0;0;0;;;
150;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
151;0,1292067;0,8607406;0;0;0;0;0;0;0;0;;;
152;0,1437777;0,8617681;0;0;0;0;0;0;0;0;;;
153;0,1064045;0,8590222;0;0;0;0;0;0;0;0;;;
154;0,09020454;0,8577263;0;0;0;0;0;0;0;0;;;
155;0,1849179;0,8643239;0;0;0;0;0;0;0;0;;;
156;0,4012704;0,8573222;0;0;0;0;0;0;0;0;;;
157;0,2310736;0,8664197;0;0;0;0;0;0;0;0;;;
158;0,3923017;0,8590533;0;0;0;0;0;0;0;0;;;
159;0,100262;0,8585379;0;0;0;0;0;0;0;0;;;
160;0,3722078;0,8621944;0;0;0;0;0;0;0;0;;;
161;0,3742612;0,861917;0;0;0;0;0;0;0;0;;;
162;0,4028804;0,8569882;0;0;0;0;0;0;0;0;;;
163;0,370398;0,8624312;0;0;0;0;0;0;0;0;;;
164;0,390421;0,8593892;0;0;0;0;0;0;0;0;;;
165;0,08597718;0,8573785;0;0;0;0;0;0;0;0;;;
166;0,3617403;0,8634683;0;0;0;0;0;0;0;0;;;
167;0,3755405;0,8617392;0;0;0;0;0;0;0;0;;;
168;0,1955336;0,8648876;0;0;0;0;0;0;0;0;;;
169;0,3771809;0,861506;0;0;0;0;0;0;0;0;;;
170;0,08852801;0,8575889;0;0;0;0;0;0;0;0;;;
171;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
172;0,09215374;0,8578854;0;0;0;0;0;0;0;0;;;
173;0,2210072;0,866047;0;0;0;0;0;0;0;0;;;
174;0,3934849;0,8588371;0;0;0;0;0;0;0;0;;;
175;0,2279624;0,8663102;0;0;0;0;0;0;0;0;;;
176;0,1821198;0,8641681;0;0;0;0;0;0;0;0;;;
177;0,2011608;0,8651682;0;0;0;0;0;0;0;0;;;
178;0,3927388;0,8589738;0;0;0;0;0;0;0;0;;;
179;0,2217864;0,8660777;0;0;0;0;0;0;0;0;;;
180;0,3906147;0,859355;0;0;0;0;0;0;0;0;;;
181;0,2383586;0,8666555;0;0;0;0;0;0;0;0;;;
182;0,1194842;0,8600237;0;0;0;0;0;0;0;0;;;
183;0,3922147;0,859069;0;0;0;0;0;0;0;0;;;
184;0,1510184;0,8622565;0;0;0;0;0;0;0;0;;;
185;0,2673108;0,8672661;0;0;0;0;0;0;0;0;;;
186;0,09393843;0,8580303;0;0;0;0;0;0;0;0;;;
187;0,3714095;0,8622998;0;0;0;0;0;0;0;0;;;
188;0,09140651;0,8578245;0;0;0;0;0;0;0;0;;;
189;0,095411;0,8581493;0;0;0;0;0;0;0;0;;;
190;0,2745367;0,8673251;0;0;0;0;0;0;0;0;;;
191;0,3912539;0,8592416;0;0;0;0;0;0;0;0;;;
192;0,3992513;0,8577308;0;0;0;0;0;0;0;0;;;
193;0,3991614;0,8577488;0;0;0;0;0;0;0;0;;;
194;0,3517654;0,8644776;0;0;0;0;0;0;0;0;;;
195;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
196;0,1030076;0,8587555;0;0;0;0;0;0;0;0;;;
197;0,1271243;0,8605891;0;0;0;0;0;0;0;0;;;
198;0,3256398;0,8663063;0;0;0;0;0;0;0;0;;;
199;0,3870031;0,8599768;0;0;0;0;0;0;0;0;;;
200;0,158871;0,8627687;0;0;0;0;0;0;0;0;;;
201;0,1067547;0,8590496;0;0;0;0;0;0;0;0;;;
202;0,386811;0,860009;0;0;0;0;0;0;0;0;;;
203;0,08428133;0,8572379;0;0;0;0;0;0;0;0;;;
204;0,3873221;0,8599232;0;0;0;0;0;0;0;0;;;
205;0,1224393;0,8602441;0;0;0;0;0;0;0;0;;;
206;0,3914475;0,859207;0;0;0;0;0;0;0;0;;;
207;0,2191815;0,8659738;0;0;0;0;0;0;0;0;;;
208;0,4028036;0,8570043;0;0;0;0;0;0;0;0;;;
209;0,2487286;0,8669375;0;0;0;0;0;0;0;0;;;
210;0,221661;0,8660727;0;0;0;0;0;0;0;0;;;
211;0,310628;0,8669078;0;0;0;0;0;0;0;0;;;
212;0,3585669;0,8638101;0;0;0;0;0;0;0;0;;;
213;0,3924167;0,8590325;0;0;0;0;0;0;0;0;;;
214;0,08432491;0,8572416;0;0;0;0;0;0;0;0;;;
215;0,3772537;0,8614955;0;0;0;0;0;0;0;0;;;
216;0,171918;0,8635765;0;0;0;0;0;0;0;0;;;
217;0,1591454;0,8627862;0;0;0;0;0;0;0;0;;;
218;0,2743044;0,8673239;0;0;0;0;0;0;0;0;;;
219;0,3825604;0,8606972;0;0;0;0;0;0;0;0;;;
220;0,09009722;0,8577176;0;0;0;0;0;0;0;0;;;
221;0,09276105;0,8579347;0;0;0;0;0;0;0;0;;;
222;0,0908732;0,8577809;0;0;0;0;0;0;0;0;;;
223;0,08716144;0,8574764;0;0;0;0;0;0;0;0;;;
224;0,08492528;0,8572914;0;0;0;0;0;0;0;0;;;
225;0,08614457;0,8573924;0;0;0;0;0;0;0;0;;;
226;0,08423725;0,8572342;0;0;0;0;0;0;0;0;;;
227;0,08721061;0,8574804;0;0;0;0;0;0;0;0;;;
228;0,08533327;0,8573252;0;0;0;0;0;0;0;0;;;
229;0,08455729;0,8572608;0;0;0;0;0;0;0;0;;;
230;0,3836516;0,8605247;0;0;0;0;0;0;0;0;;;
231;0,3621497;0,8634227;0;0;0;0;0;0;0;0;;;
232;0,3799707;0,8610951;0;0;0;0;0;0;0;0;;;
233;0,1867322;0,8644232;0;0;0;0;0;0;0;0;;;
234;0,3843868;0,8604069;0;0;0;0;0;0;0;0;;;
235;0,3847567;0,8603471;0;0;0;0;0;0;0;0;;;
236;0,3862846;0,8600966;0;0;0;0;0;0;0;0;;;
237;0,3988591;0,8578089;0;0;0;0;0;0;0;0;;;
238;0,2951973;0,8672457;0;0;0;0;0;0;0;0;;;
239;0,2747082;0,867326;0;0;0;0;0;0;0;0;;;
240;0,2471845;0,8668997;0;0;0;0;0;0;0;0;;;
241;0,2077153;0,8654782;0;0;0;0;0;0;0;0;;;
242;0,3570545;0,8639662;0;0;0;0;0;0;0;0;;;
243;0,1448129;0,8618389;0;0;0;0;0;0;0;0;;;
244;0,3698922;0,8624963;0;0;0;0;0;0;0;0;;;
245;0,4016223;0,8572498;0;0;0;0;0;0;0;0;;;
246;0,3779885;0,8613889;0;0;0;0;0;0;0;0;;;
247;0,3795889;0,8611524;0;0;0;0;0;0;0;0;;;
248;0,3898336;0,8594924;0;0;0;0;0;0;0;0;;;
249;0,08621455;0,8573982;0;0;0;0;0;0;0;0;;;
250;0,08686031;0,8574516;0;0;0;0;0;0;0;0;;;
251;0,1293729;0,8607526;0;0;0;0;0;0;0;0;;;
252;0,0847216;0,8572745;0;0;0;0;0;0;0;0;;;
253;0,09923561;0,8584561;0;0;0;0;0;0;0;0;;;
254;0,09603029;0,8581992;0;0;0;0;0;0;0;0;;;
255;0,104338;0,8588603;0;0;0;0;0;0;0;0;;;
256;0,093154;0,8579667;0;0;0;0;0;0;0;0;;;
257;0,0940012;0,8580353;0;0;0;0;0;0;0;0;;;
258;0,09401339;0,8580363;0;0;0;0;0;0;0;0;;;
259;0,09836692;0,8583868;0;0;0;0;0;0;0;0;;;
260;0,09679209;0,8582605;0;0;0;0;0;0;0;0;;;
261;0,08857045;0,8575923;0;0;0;0;0;0;0;0;;;
262;0,09265674;0,8579263;0;0;0;0;0;0;0;0;;;
263;0,1123278;0,8594808;0;0;0;0;0;0;0;0;;;
264;0,09034414;0,8577377;0;0;0;0;0;0;0;0;;;
265;0,1014764;0,8586343;0;0;0;0;0;0;0;0;;;
266;0,1174615;0,8598715;0;0;0;0;0;0;0;0;;;
267;0,09398285;0,8580338;0;0;0;0;0;0;0;0;;;
268;0,09100053;0,8577914;0;0;0;0;0;0;0;0;;;
269;0,09515993;0,858129;0;0;0;0;0;0;0;0;;;
270;0,1080313;0,859149;0;0;0;0;0;0;0;0;;;
271;0,09898952;0,8584365;0;0;0;0;0;0;0;0;;;
272;0,09381265;0,8580201;0;0;0;0;0;0;0;0;;;
273;0,08667902;0,8574366;0;0;0;0;0;0;0;0;;;
274;0,08718116;0,857478;0;0;0;0;0;0;0;0;;;
275;0,1177571;0,8598938;0;0;0;0;0;0;0;0;;;
276;0,1093705;0,8592529;0;0;0;0;0;0;0;0;;;
277;0,09387378;0,858025;0;0;0;0;0;0;0;0;;;
278;0,09125911;0,8578125;0;0;0;0;0;0;0;0;;;
279;0,1009043;0,8585889;0;0;0;0;0;0;0;0;;;
280;0,0890992;0,8576358;0;0;0;0;0;0;0;0;;;
281;0,09394723;0,858031;0;0;0;0;0;0;0;0;;;
282;0,09851997;0,8583989;0;0;0;0;0;0;0;0;;;
283;0,1017116;0,8586529;0;0;0;0;0;0;0;0;;;
284;0,1182027;0,8599275;0;0;0;0;0;0;0;0;;;
285;0,1077251;0,8591252;0;0;0;0;0;0;0;0;;;
286;0,09506223;0,8581212;0;0;0;0;0;0;0;0;;;
287;0,1001284;0,8585272;0;0;0;0;0;0;0;0;;;
288;0,09185269;0,8578609;0;0;0;0;0;0;0;0;;;
289;0,1005902;0,858564;0;0;0;0;0;0;0;0;;;
290;0,09102077;0,857793;0;0;0;0;0;0;0;0;;;
291;0,1021944;0,8586912;0;0;0;0;0;0;0;0;;;
292;0,09274084;0,8579331;0;0;0;0;0;0;0;0;;;
293;0,09950157;0,8584773;0;0;0;0;0;0;0;0;;;
294;0,1077259;0,8591252;0;0;0;0;0;0;0;0;;;
295;0,09623924;0,858216;0;0;0;0;0;0;0;0;;;
296;0,09579366;0,8581802;0;0;0;0;0;0;0;0;;;
297;0,09038512;0,8577411;0;0;0;0;0;0;0;0;;;
298;0,1468358;0,8619763;0;0;0;0;0;0;0;0;;;
299;0,089399;0,8576604;0;0;0;0;0;0;0;0;;;
300;0,1845265;0,8643022;0;0;0;0;0;0;0;0;;;
301;0,1223735;0,8602393;0;0;0;0;0;0;0;0;;;
302;0,08677879;0,8574448;0;0;0;0;0;0;0;0;;;
303;0,0849939;0,8572971;0;0;0;0;0;0;0;0;;;
304;0,09540178;0,8581485;0;0;0;0;0;0;0;0;;;
305;0,08861699;0,8575961;0;0;0;0;0;0;0;0;;;
306;0,1689081;0,8633952;0;0;0;0;0;0;0;0;;;
307;0,09174876;0,8578524;0;0;0;0;0;0;0;0;;;
308;0,1093318;0,8592499;0;0;0;0;0;0;0;0;;;
309;0,3365466;0,8656746;0;0;0;0;0;0;0;0;;;
310;0,09120571;0,8578081;0;0;0;0;0;0;0;0;;;
311;0,3020828;0,8671272;0;0;0;0;0;0;0;0;;;
312;0,0886706;0,8576006;0;0;0;0;0;0;0;0;;;
313;0,08682303;0,8574485;0;0;0;0;0;0;0;0;;;
314;0,08773071;0,8575233;0;0;0;0;0;0;0;0;;;
315;0,08841857;0,8575799;0;0;0;0;0;0;0;0;;;
316;0,08715786;0,8574761;0;0;0;0;0;0;0;0;;;
317;0,08697277;0,8574608;0;0;0;0;0;0;0;0;;;
318;0,08748575;0,8575031;0;0;0;0;0;0;0;0;;;
319;0,08847304;0,8575843;0;0;0;0;0;0;0;0;;;
320;0,09605001;0,8582008;0;0;0;0;0;0;0;0;;;
321;0,2198107;0,8659992;0;0;0;0;0;0;0;0;;;
322;0,09940731;0,8584698;0;0;0;0;0;0;0;0;;;
323;0,3345247;0,8658052;0;0;0;0;0;0;0;0;;;
324;0,08830646;0,8575706;0;0;0;0;0;0;0;0;;;
325;0,315424;0,866747;0;0;0;0;0;0;0;0;;;
326;0,3027906;0,8671122;0;0;0;0;0;0;0;0;;;
327;0,0862682;0,8574026;0;0;0;0;0;0;0;0;;;
328;0,08937928;0,8576587;0;0;0;0;0;0;0;0;;;
329;0,08957052;0,8576744;0;0;0;0;0;0;0;0;;;
330;0,219047;0,8659683;0;0;0;0;0;0;0;0;;;
331;0,1057876;0,858974;0;0;0;0;0;0;0;0;;;
332;0,08596648;0,8573776;0;0;0;0;0;0;0;0;;;
333;0,08798785;0,8575444;0;0;0;0;0;0;0;0;;;
334;0,1182437;0,8599305;0;0;0;0;0;0;0;0;;;
335;0,1065511;0,8590336;0;0;0;0;0;0;0;0;;;
