ModelName;;NetID;;;;;;;;;;;
336;0,09288972;0,8579452;0;0;0;0;0;0;0;0;;;
337;0,09040796;0,857743;0;0;0;0;0;0;0;0;;;
338;0,08587085;0,8573698;0;0;0;0;0;0;0;0;;;
339;0,0887796;0,8576095;0;0;0;0;0;0;0;0;;;
340;0,0884724;0,8575842;0;0;0;0;0;0;0;0;;;
341;0,08751359;0,8575054;0;0;0;0;0;0;0;0;;;
342;0,09324785;0,8579743;0;0;0;0;0;0;0;0;;;
343;0,08959734;0,8576766;0;0;0;0;0;0;0;0;;;
344;0,09178721;0,8578555;0;0;0;0;0;0;0;0;;;
345;0,09856597;0,8584026;0;0;0;0;0;0;0;0;;;
346;0,09407414;0,8580412;0;0;0;0;0;0;0;0;;;
347;0,0894847;0,8576674;0;0;0;0;0;0;0;0;;;
348;0,344164;0,8651244;0;0;0;0;0;0;0;0;;;
349;0,3503029;0,8646101;0;0;0;0;0;0;0;0;;;
350;0,2635131;0,8672189;0;0;0;0;0;0;0;0;;;
351;0,2795008;0,867341;0;0;0;0;0;0;0;0;;;
352;0,1777675;0,8639202;0;0;0;0;0;0;0;0;;;
353;0,307579;0,8669957;0;0;0;0;0;0;0;0;;;
354;0,2514058;0,8669994;0;0;0;0;0;0;0;0;;;
355;0,3559171;0,8640805;0;0;0;0;0;0;0;0;;;
356;0,08916344;0,857641;0;0;0;0;0;0;0;0;;;
357;0,2606456;0,8671762;0;0;0;0;0;0;0;0;;;
358;0,280568;0,8673416;0;0;0;0;0;0;0;0;;;
359;0,08629761;0,857405;0;0;0;0;0;0;0;0;;;
360;0,1009169;0,8585899;0;0;0;0;0;0;0;0;;;
361;0,09615106;0,8582089;0;0;0;0;0;0;0;0;;;
362;0,284456;0,8673356;0;0;0;0;0;0;0;0;;;
363;0,08630358;0,8574055;0;0;0;0;0;0;0;0;;;
364;0,3456966;0,8650021;0;0;0;0;0;0;0;0;;;
365;0,1463752;0,8619451;0;0;0;0;0;0;0;0;;;
366;0,1490542;0,8621256;0;0;0;0;0;0;0;0;;;
367;0,1319396;0,8609377;0;0;0;0;0;0;0;0;;;
368;0,09396871;0,8580327;0;0;0;0;0;0;0;0;;;
369;0,3746183;0,8618677;0;0;0;0;0;0;0;0;;;
370;0,3006791;0,8671554;0;0;0;0;0;0;0;0;;;
371;0,3432129;0,8651983;0;0;0;0;0;0;0;0;;;
372;0,3331448;0,8658906;0;0;0;0;0;0;0;0;;;
373;0,3379489;0,8655803;0;0;0;0;0;0;0;0;;;
374;0,2924436;0,8672794;0;0;0;0;0;0;0;0;;;
375;0,3265588;0,8662598;0;0;0;0;0;0;0;0;;;
376;0,3477773;0,8648296;0;0;0;0;0;0;0;0;;;
377;0,2859528;0,8673297;0;0;0;0;0;0;0;0;;;
378;0,08901977;0,8576292;0;0;0;0;0;0;0;0;;;
379;0,2597867;0,8671622;0;0;0;0;0;0;0;0;;;
380;0,2178741;0,8659204;0;0;0;0;0;0;0;0;;;
381;0,08455964;0,857261;0;0;0;0;0;0;0;0;;;
382;0,08760614;0,857513;0;0;0;0;0;0;0;0;;;
383;0,2891623;0,8673098;0;0;0;0;0;0;0;0;;;
384;0,2569941;0,8671134;0;0;0;0;0;0;0;0;;;
385;0,1239566;0,8603565;0;0;0;0;0;0;0;0;;;
386;0,08960816;0,8576775;0;0;0;0;0;0;0;0;;;
387;0,2649601;0,8672381;0;0;0;0;0;0;0;0;;;
388;0,2653358;0,8672429;0;0;0;0;0;0;0;0;;;
389;0,2522371;0,8670176;0;0;0;0;0;0;0;0;;;
390;0,2475516;0,8669087;0;0;0;0;0;0;0;0;;;
391;0,0867609;0,8574433;0;0;0;0;0;0;0;0;;;
392;0,09284494;0,8579416;0;0;0;0;0;0;0;0;;;
393;0,1221273;0,860221;0;0;0;0;0;0;0;0;;;
394;0,08860422;0,8575951;0;0;0;0;0;0;0;0;;;
395;0,2195256;0,8659877;0;0;0;0;0;0;0;0;;;
396;0,192452;0,8647285;0;0;0;0;0;0;0;0;;;
397;0,09461529;0,858085;0;0;0;0;0;0;0;0;;;
398;0,1252889;0,8604546;0;0;0;0;0;0;0;0;;;
399;0,09620588;0,8582133;0;0;0;0;0;0;0;0;;;
400;0,2017455;0,8651966;0;0;0;0;0;0;0;0;;;
401;0,2038268;0,8652965;0;0;0;0;0;0;0;0;;;
402;0,2964463;0,8672279;0;0;0;0;0;0;0;0;;;
403;0,2270667;0,8662777;0;0;0;0;0;0;0;0;;;
404;0,1522104;0,8623354;0;0;0;0;0;0;0;0;;;
405;0,08469808;0,8572725;0;0;0;0;0;0;0;0;;;
406;0,08993627;0,8577043;0;0;0;0;0;0;0;0;;;
407;0,1240717;0,860365;0;0;0;0;0;0;0;0;;;
408;0,1883637;0,8645116;0;0;0;0;0;0;0;0;;;
409;0,1173893;0,8598661;0;0;0;0;0;0;0;0;;;
410;0,08609787;0,8573885;0;0;0;0;0;0;0;0;;;
411;0,3056115;0,8670467;0;0;0;0;0;0;0;0;;;
412;0,2269376;0,8662729;0;0;0;0;0;0;0;0;;;
413;0,09148853;0,8578312;0;0;0;0;0;0;0;0;;;
414;0,2998593;0,8671709;0;0;0;0;0;0;0;0;;;
415;0,2797219;0,8673412;0;0;0;0;0;0;0;0;;;
416;0,09304556;0,8579579;0;0;0;0;0;0;0;0;;;
417;0,1829197;0,8642129;0;0;0;0;0;0;0;0;;;
418;0,08490402;0,8572897;0;0;0;0;0;0;0;0;;;
419;0,2953909;0,867243;0;0;0;0;0;0;0;0;;;
420;0,337143;0,8656349;0;0;0;0;0;0;0;0;;;
421;0,3459632;0,8649804;0;0;0;0;0;0;0;0;;;
422;0,08851029;0,8575874;0;0;0;0;0;0;0;0;;;
423;0,1190648;0,8599923;0;0;0;0;0;0;0;0;;;
424;0,08651347;0,8574229;0;0;0;0;0;0;0;0;;;
425;0,08440067;0,8572479;0;0;0;0;0;0;0;0;;;
426;0,08519816;0,857314;0;0;0;0;0;0;0;0;;;
427;0,08481182;0,857282;0;0;0;0;0;0;0;0;;;
428;0,09014158;0,8577211;0;0;0;0;0;0;0;0;;;
429;0,09488267;0,8581066;0;0;0;0;0;0;0;0;;;
430;0,08573342;0,8573583;0;0;0;0;0;0;0;0;;;
431;0,2773939;0,8673367;0;0;0;0;0;0;0;0;;;
432;0,09227515;0,8578953;0;0;0;0;0;0;0;0;;;
433;0,08464305;0,857268;0;0;0;0;0;0;0;0;;;
434;0,09315988;0,8579671;0;0;0;0;0;0;0;0;;;
435;0,09814465;0,8583689;0;0;0;0;0;0;0;0;;;
436;0,1365453;0,8612654;0;0;0;0;0;0;0;0;;;
437;0,08627019;0,8574027;0;0;0;0;0;0;0;0;;;
438;0,2658092;0,8672487;0;0;0;0;0;0;0;0;;;
439;0,278307;0,8673391;0;0;0;0;0;0;0;0;;;
440;0,3068701;0,8670145;0;0;0;0;0;0;0;0;;;
441;0,3005092;0,8671587;0;0;0;0;0;0;0;0;;;
442;0,3636727;0,8632503;0;0;0;0;0;0;0;0;;;
443;0,367014;0,8628553;0;0;0;0;0;0;0;0;;;
444;0,09338544;0,8579854;0;0;0;0;0;0;0;0;;;
445;0,354589;0,8642111;0;0;0;0;0;0;0;0;;;
446;0,08951706;0,8576701;0;0;0;0;0;0;0;0;;;
447;0,2734631;0,867319;0;0;0;0;0;0;0;0;;;
448;0,1722541;0,8635966;0;0;0;0;0;0;0;0;;;
449;0,0882482;0,8575659;0;0;0;0;0;0;0;0;;;
450;0,1406993;0,8615559;0;0;0;0;0;0;0;0;;;
451;0,08863496;0,8575976;0;0;0;0;0;0;0;0;;;
452;0,112885;0,8595236;0;0;0;0;0;0;0;0;;;
453;0,2598194;0,8671628;0;0;0;0;0;0;0;0;;;
454;0,09589091;0,858188;0;0;0;0;0;0;0;0;;;
455;0,08648811;0,8574207;0;0;0;0;0;0;0;0;;;
456;0,3623728;0,8633978;0;0;0;0;0;0;0;0;;;
457;0,1096298;0,859273;0;0;0;0;0;0;0;0;;;
458;0,09619089;0,8582121;0;0;0;0;0;0;0;0;;;
459;0,1022984;0,8586994;0;0;0;0;0;0;0;0;;;
460;0,1015974;0,8586439;0;0;0;0;0;0;0;0;;;
461;0,09677853;0,8582594;0;0;0;0;0;0;0;0;;;
462;0,09152533;0,8578342;0;0;0;0;0;0;0;0;;;
463;0,2450254;0,8668443;0;0;0;0;0;0;0;0;;;
464;0,08738638;0,8574949;0;0;0;0;0;0;0;0;;;
465;0,1411936;0,8615902;0;0;0;0;0;0;0;0;;;
466;0,1037909;0,8588172;0;0;0;0;0;0;0;0;;;
467;0,105086;0,858919;0;0;0;0;0;0;0;0;;;
468;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
469;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
470;0,09271435;0,857931;0;0;0;0;0;0;0;0;;;
471;0,09360703;0,8580034;0;0;0;0;0;0;0;0;;;
472;0,1217442;0,8601925;0;0;0;0;0;0;0;0;;;
473;0,08764623;0,8575163;0;0;0;0;0;0;0;0;;;
474;0,08532334;0,8573244;0;0;0;0;0;0;0;0;;;
475;0,2296643;0,8663708;0;0;0;0;0;0;0;0;;;
476;0,2809978;0,8673416;0;0;0;0;0;0;0;0;;;
477;0,3198441;0,8665732;0;0;0;0;0;0;0;0;;;
478;0,3338102;0,8658498;0;0;0;0;0;0;0;0;;;
479;0,3873322;0,8599215;0;0;0;0;0;0;0;0;;;
480;0,1270774;0,8605856;0;0;0;0;0;0;0;0;;;
481;0,2655538;0,8672456;0;0;0;0;0;0;0;0;;;
482;0,2815953;0,8673413;0;0;0;0;0;0;0;0;;;
483;0,09694835;0,858273;0;0;0;0;0;0;0;0;;;
484;0,2647634;0,8672356;0;0;0;0;0;0;0;0;;;
485;0,33471;0,8657935;0;0;0;0;0;0;0;0;;;
486;0,2389479;0,8666732;0;0;0;0;0;0;0;0;;;
487;0,08494749;0,8572932;0;0;0;0;0;0;0;0;;;
488;0,3432509;0,8651953;0;0;0;0;0;0;0;0;;;
489;0,2441166;0,8668202;0;0;0;0;0;0;0;0;;;
490;0,1889527;0,8645433;0;0;0;0;0;0;0;0;;;
491;0,08782461;0,857531;0;0;0;0;0;0;0;0;;;
492;0,1271446;0,8605906;0;0;0;0;0;0;0;0;;;
493;0,2286205;0,8663338;0;0;0;0;0;0;0;0;;;
494;0,08910553;0,8576363;0;0;0;0;0;0;0;0;;;
495;0,1704183;0,8634865;0;0;0;0;0;0;0;0;;;
496;0,2714574;0,867305;0;0;0;0;0;0;0;0;;;
497;0,2493001;0,866951;0;0;0;0;0;0;0;0;;;
498;0,09114205;0,8578029;0;0;0;0;0;0;0;0;;;
499;0,08909856;0,8576357;0;0;0;0;0;0;0;0;;;
500;0,1013962;0,858628;0;0;0;0;0;0;0;0;;;
501;0,1624158;0,8629936;0;0;0;0;0;0;0;0;;;
502;0,08473933;0,857276;0;0;0;0;0;0;0;0;;;
503;0,3213105;0,86651;0;0;0;0;0;0;0;0;;;
504;0,1171118;0,8598452;0;0;0;0;0;0;0;0;;;
505;0,08504675;0,8573015;0;0;0;0;0;0;0;0;;;
506;0,2283367;0,8663236;0;0;0;0;0;0;0;0;;;
507;0,2236639;0,8661504;0;0;0;0;0;0;0;0;;;
508;0,357416;0,8639293;0;0;0;0;0;0;0;0;;;
509;0,1504057;0,8622158;0;0;0;0;0;0;0;0;;;
510;0,09638307;0,8582276;0;0;0;0;0;0;0;0;;;
511;0,2851401;0,8673331;0;0;0;0;0;0;0;0;;;
512;0,0942531;0,8580557;0;0;0;0;0;0;0;0;;;
513;0,08538313;0,8573294;0;0;0;0;0;0;0;0;;;
514;0,2546288;0,8670677;0;0;0;0;0;0;0;0;;;
515;0,08483883;0,8572842;0;0;0;0;0;0;0;0;;;
516;0,08728027;0,8574861;0;0;0;0;0;0;0;0;;;
517;0,08755697;0,857509;0;0;0;0;0;0;0;0;;;
518;0,08430397;0,8572398;0;0;0;0;0;0;0;0;;;
519;0,08416606;0,8572283;0;0;0;0;0;0;0;0;;;
520;0,08679828;0,8574464;0;0;0;0;0;0;0;0;;;
521;0,1141053;0,8596168;0;0;0;0;0;0;0;0;;;
522;0,3306346;0,8660388;0;0;0;0;0;0;0;0;;;
523;0,09526021;0,8581371;0;0;0;0;0;0;0;0;;;
524;0,1139266;0,8596032;0;0;0;0;0;0;0;0;;;
525;0,09727939;0,8582996;0;0;0;0;0;0;0;0;;;
526;0,26313;0,8672135;0;0;0;0;0;0;0;0;;;
527;0,09524216;0,8581356;0;0;0;0;0;0;0;0;;;
528;0,1318351;0,8609302;0;0;0;0;0;0;0;0;;;
529;0,2389329;0,8666728;0;0;0;0;0;0;0;0;;;
530;0,08776023;0,8575257;0;0;0;0;0;0;0;0;;;
531;0,09503274;0,8581187;0;0;0;0;0;0;0;0;;;
532;0,08754768;0,8575081;0;0;0;0;0;0;0;0;;;
533;0,1283603;0,8606791;0;0;0;0;0;0;0;0;;;
534;0,1204058;0,8600927;0;0;0;0;0;0;0;0;;;
535;0,1008057;0,8585811;0;0;0;0;0;0;0;0;;;
536;0,3226451;0,8664499;0;0;0;0;0;0;0;0;;;
537;0,3408562;0,8653749;0;0;0;0;0;0;0;0;;;
538;0,1657777;0,8632032;0;0;0;0;0;0;0;0;;;
539;0,08756456;0,8575096;0;0;0;0;0;0;0;0;;;
540;0,1113482;0,8594056;0;0;0;0;0;0;0;0;;;
541;0,1634887;0,8630609;0;0;0;0;0;0;0;0;;;
542;0,3015584;0,867138;0;0;0;0;0;0;0;0;;;
543;0,1044667;0,8588704;0;0;0;0;0;0;0;0;;;
544;0,1023373;0,8587025;0;0;0;0;0;0;0;0;;;
545;0,0963765;0,858227;0;0;0;0;0;0;0;0;;;
546;0,1411334;0,861586;0;0;0;0;0;0;0;0;;;
547;0,3860753;0,8601313;0;0;0;0;0;0;0;0;;;
548;0,1996886;0,865096;0;0;0;0;0;0;0;0;;;
549;0,218487;0,8659456;0;0;0;0;0;0;0;0;;;
550;0,3219832;0,86648;0;0;0;0;0;0;0;0;;;
551;0,3528083;0,864381;0;0;0;0;0;0;0;0;;;
552;0,3565383;0,8640184;0;0;0;0;0;0;0;0;;;
553;0,1474072;0,8620148;0;0;0;0;0;0;0;0;;;
554;0,2649006;0,8672374;0;0;0;0;0;0;0;0;;;
555;0,1151633;0,8596974;0;0;0;0;0;0;0;0;;;
556;0,2523686;0,8670205;0;0;0;0;0;0;0;0;;;
557;0,1109902;0,859378;0;0;0;0;0;0;0;0;;;
558;0,1027963;0,8587388;0;0;0;0;0;0;0;0;;;
559;0,223094;0,8661286;0;0;0;0;0;0;0;0;;;
560;0,1243893;0,8603883;0;0;0;0;0;0;0;0;;;
561;0,1022792;0,8586979;0;0;0;0;0;0;0;0;;;
562;0,1551157;0,8625262;0;0;0;0;0;0;0;0;;;
563;0,08633786;0,8574083;0;0;0;0;0;0;0;0;;;
564;0,08514319;0,8573095;0;0;0;0;0;0;0;0;;;
565;0,3546645;0,8642038;0;0;0;0;0;0;0;0;;;
566;0,3260924;0,8662836;0;0;0;0;0;0;0;0;;;
567;0,1723082;0,8635999;0;0;0;0;0;0;0;0;;;
568;0,2065977;0,8654267;0;0;0;0;0;0;0;0;;;
569;0,1263129;0,8605297;0;0;0;0;0;0;0;0;;;
570;0,1264907;0,8605427;0;0;0;0;0;0;0;0;;;
571;0,09471525;0,8580931;0;0;0;0;0;0;0;0;;;
572;0,2110572;0,865629;0;0;0;0;0;0;0;0;;;
573;0,08963776;0,85768;0;0;0;0;0;0;0;0;;;
574;0,08762599;0,8575147;0;0;0;0;0;0;0;0;;;
575;0,1164773;0,8597971;0;0;0;0;0;0;0;0;;;
576;0,09705061;0,8582813;0;0;0;0;0;0;0;0;;;
577;0,1276001;0,8606238;0;0;0;0;0;0;0;0;;;
578;0,08815127;0,8575579;0;0;0;0;0;0;0;0;;;
579;0,3702786;0,8624467;0;0;0;0;0;0;0;0;;;
580;0,2120693;0,8656736;0;0;0;0;0;0;0;0;;;
581;0,08747032;0,8575018;0;0;0;0;0;0;0;0;;;
582;0,1765407;0,8638491;0;0;0;0;0;0;0;0;;;
583;0,08438693;0,8572467;0;0;0;0;0;0;0;0;;;
584;0,2932135;0,8672707;0;0;0;0;0;0;0;0;;;
585;0,3405576;0,8653967;0;0;0;0;0;0;0;0;;;
586;0,2708496;0,8673002;0;0;0;0;0;0;0;0;;;
587;0,08688968;0,8574539;0;0;0;0;0;0;0;0;;;
588;0,3384917;0,865543;0;0;0;0;0;0;0;0;;;
589;0,3537826;0,8642887;0;0;0;0;0;0;0;0;;;
590;0,2627551;0,8672082;0;0;0;0;0;0;0;0;;;
591;0,3694866;0,8625479;0;0;0;0;0;0;0;0;;;
592;0,09646814;0,8582344;0;0;0;0;0;0;0;0;;;
593;0,2967167;0,8672238;0;0;0;0;0;0;0;0;;;
594;0,1080061;0,859147;0;0;0;0;0;0;0;0;;;
595;0,1277941;0,860638;0;0;0;0;0;0;0;0;;;
596;0,09863058;0,8584078;0;0;0;0;0;0;0;0;;;
597;0,1132013;0,8595478;0;0;0;0;0;0;0;0;;;
598;0,1060989;0,8589983;0;0;0;0;0;0;0;0;;;
599;0,3565599;0,8640162;0;0;0;0;0;0;0;0;;;
600;0,1159008;0,8597535;0;0;0;0;0;0;0;0;;;
601;0,08815737;0,8575584;0;0;0;0;0;0;0;0;;;
602;0,08907046;0,8576334;0;0;0;0;0;0;0;0;;;
603;0,2769969;0,8673356;0;0;0;0;0;0;0;0;;;
604;0,09666677;0,8582504;0;0;0;0;0;0;0;0;;;
605;0,2997206;0,8671735;0;0;0;0;0;0;0;0;;;
606;0,19555;0,8648884;0;0;0;0;0;0;0;0;;;
607;0,3109998;0,8668963;0;0;0;0;0;0;0;0;;;
608;0,09996137;0,858514;0;0;0;0;0;0;0;0;;;
609;0,3247317;0,8663512;0;0;0;0;0;0;0;0;;;
610;0,08666569;0,8574354;0;0;0;0;0;0;0;0;;;
611;0,3274454;0,8662137;0;0;0;0;0;0;0;0;;;
612;0,3700363;0,8624778;0;0;0;0;0;0;0;0;;;
613;0,3823203;0,8607348;0;0;0;0;0;0;0;0;;;
614;0,2585768;0,8671418;0;0;0;0;0;0;0;0;;;
615;0,0907717;0,8577726;0;0;0;0;0;0;0;0;;;
616;0,08708052;0,8574697;0;0;0;0;0;0;0;0;;;
617;0,09079137;0,8577743;0;0;0;0;0;0;0;0;;;
618;0,09981766;0,8585025;0;0;0;0;0;0;0;0;;;
619;0,1370495;0,8613009;0;0;0;0;0;0;0;0;;;
620;0,08971407;0,8576862;0;0;0;0;0;0;0;0;;;
621;0,1015123;0,8586372;0;0;0;0;0;0;0;0;;;
622;0,1155103;0,8597238;0;0;0;0;0;0;0;0;;;
623;0,1219243;0,8602059;0;0;0;0;0;0;0;0;;;
624;0,09075219;0,8577711;0;0;0;0;0;0;0;0;;;
625;0,09046565;0,8577477;0;0;0;0;0;0;0;0;;;
626;0,118139;0,8599226;0;0;0;0;0;0;0;0;;;
627;0,09315988;0,8579671;0;0;0;0;0;0;0;0;;;
628;0,1089224;0,8592182;0;0;0;0;0;0;0;0;;;
629;0,09119015;0,8578069;0;0;0;0;0;0;0;0;;;
630;0,09520761;0,8581329;0;0;0;0;0;0;0;0;;;
631;0,08762703;0,8575147;0;0;0;0;0;0;0;0;;;
632;0,3317735;0,8659727;0;0;0;0;0;0;0;0;;;
633;0,2545626;0,8670663;0;0;0;0;0;0;0;0;;;
634;0,2405392;0,8667202;0;0;0;0;0;0;0;0;;;
635;0,3141041;0,866794;0;0;0;0;0;0;0;0;;;
636;0,353704;0,8642963;0;0;0;0;0;0;0;0;;;
637;0,143594;0,8617555;0;0;0;0;0;0;0;0;;;
638;0,09651018;0,8582378;0;0;0;0;0;0;0;0;;;
639;0,08623426;0,8573998;0;0;0;0;0;0;0;0;;;
640;0,1302582;0,8608167;0;0;0;0;0;0;0;0;;;
641;0,09368552;0,8580098;0;0;0;0;0;0;0;0;;;
642;0,08978721;0,8576922;0;0;0;0;0;0;0;0;;;
643;0,08661055;0,8574309;0;0;0;0;0;0;0;0;;;
644;0,08432096;0,8572412;0;0;0;0;0;0;0;0;;;
645;0,0932801;0,8579769;0;0;0;0;0;0;0;0;;;
646;0,3191066;0,866604;0;0;0;0;0;0;0;0;;;
647;0,1420341;0,8616482;0;0;0;0;0;0;0;0;;;
648;0,09650784;0,8582376;0;0;0;0;0;0;0;0;;;
649;0,09007837;0,857716;0;0;0;0;0;0;0;0;;;
650;0,08453126;0,8572587;0;0;0;0;0;0;0;0;;;
651;0,1075568;0,8591121;0;0;0;0;0;0;0;0;;;
652;0,09119359;0,8578071;0;0;0;0;0;0;0;0;;;
653;0,09426928;0,858057;0;0;0;0;0;0;0;0;;;
654;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
655;0,09558465;0,8581633;0;0;0;0;0;0;0;0;;;
656;0,1024236;0,8587093;0;0;0;0;0;0;0;0;;;
657;0,09125326;0,857812;0;0;0;0;0;0;0;0;;;
658;0,08837701;0,8575764;0;0;0;0;0;0;0;0;;;
659;0,1116681;0,8594302;0;0;0;0;0;0;0;0;;;
660;0,09524279;0,8581357;0;0;0;0;0;0;0;0;;;
661;0,09099555;0,8577909;0;0;0;0;0;0;0;0;;;
662;0,1670772;0,8632833;0;0;0;0;0;0;0;0;;;
663;0,08552247;0,8573409;0;0;0;0;0;0;0;0;;;
664;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
665;0,08521218;0,8573152;0;0;0;0;0;0;0;0;;;
666;0,0846415;0,8572679;0;0;0;0;0;0;0;0;;;
667;0,08808595;0,8575525;0;0;0;0;0;0;0;0;;;
668;0,1282744;0,8606729;0;0;0;0;0;0;0;0;;;
669;0,09505939;0,8581209;0;0;0;0;0;0;0;0;;;
670;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
671;0,08463631;0,8572674;0;0;0;0;0;0;0;0;;;
672;0,08897;0,8576252;0;0;0;0;0;0;0;0;;;
673;0,1008514;0,8585848;0;0;0;0;0;0;0;0;;;
674;0,09739367;0,8583087;0;0;0;0;0;0;0;0;;;
675;0,08577263;0,8573616;0;0;0;0;0;0;0;0;;;
676;0,09897263;0,8584352;0;0;0;0;0;0;0;0;;;
